,body_mass_g
0,4250.0
1,4650.0
2,4250.0
3,4500.0
4,5700.0
5,3150.0
6,4100.0
7,5300.0
8,4550.0
9,3600.0
10,5100.0
11,5950.0
12,5800.0
13,4600.0
14,3650.0
15,4750.0
16,4850.0
17,3450.0
18,3500.0
19,5000.0
20,3900.0
21,4050.0
22,3750.0
23,4375.0
24,4250.0
25,3775.0
26,3525.0
27,4950.0
28,4400.0
29,5200.0
30,5800.0
31,3675.0
32,4700.0
33,3775.0
34,4150.0
35,5400.0
36,4400.0
37,3550.0
38,5550.0
39,3500.0
40,2900.0
41,4200.0
42,3500.0
43,
44,5350.0
45,4050.0
46,4650.0
47,4800.0
48,5300.0
49,4100.0
50,4250.0
51,5700.0
52,4800.0
53,5250.0
54,3000.0
55,3350.0
56,5200.0
57,3800.0
58,3300.0
59,2850.0
60,4450.0
61,4900.0
62,5500.0
63,4050.0
64,4725.0
65,3950.0
66,3700.0
67,4625.0
68,3200.0
69,3900.0
70,4200.0
71,3650.0
72,5500.0
73,5550.0
74,3900.0
75,6000.0
76,3050.0
77,5400.0
78,4450.0
79,4400.0
80,3825.0
81,5850.0
82,3150.0
83,4550.0
84,5050.0
85,3700.0
86,4050.0
87,3800.0
88,4725.0
89,3300.0
90,5850.0
91,3700.0
92,3625.0
93,4625.0
94,4400.0
95,3300.0
96,3500.0
97,4975.0
98,4150.0
99,3950.0
100,5200.0
101,4750.0
102,4250.0
103,5350.0
104,3700.0
105,5000.0
106,4150.0
107,3175.0
108,2900.0
109,3950.0
110,4875.0
111,4675.0
112,5500.0
113,2900.0
114,3350.0
115,4600.0
116,4650.0
117,5700.0
118,3450.0
119,3150.0
120,4000.0
121,3400.0
122,4200.0
123,3700.0
124,3600.0
125,3550.0
126,4600.0
127,4300.0
128,4100.0
129,3950.0
130,4500.0
131,3700.0
132,3450.0
133,4775.0
134,4050.0
135,4300.0
136,4300.0
137,4100.0
138,4500.0
139,4925.0
140,4700.0
141,3500.0
142,3300.0
143,3325.0
144,4300.0
145,3950.0
146,3950.0
147,3800.0
148,4100.0
149,3475.0
150,3325.0
151,4200.0
152,2925.0
153,3425.0
154,5250.0
155,5850.0
156,3550.0
157,5200.0
158,3175.0
159,3950.0
160,3650.0
161,5100.0
162,3550.0
163,3325.0
164,3350.0
165,5150.0
166,3725.0
167,3900.0
168,3050.0
169,3550.0
170,3900.0
171,3000.0
172,3800.0
173,3725.0
174,4800.0
175,4850.0
176,4000.0
177,3275.0
178,3400.0
179,3675.0
180,3950.0
181,5650.0
182,3700.0
183,3250.0
184,5700.0
185,4300.0
186,3700.0
187,5600.0
188,3900.0
189,3800.0
190,3800.0
191,3350.0
192,3850.0
193,3900.0
194,4875.0
195,5550.0
196,3250.0
197,6300.0
198,5050.0
199,3950.0
200,3800.0
201,4900.0
202,3550.0
203,3750.0
204,5400.0
205,3500.0
206,3450.0
207,3650.0
208,3975.0
209,5150.0
210,3400.0
211,4450.0
212,5500.0
213,5650.0
214,3500.0
215,3775.0
216,3800.0
217,4850.0
218,5400.0
219,3600.0
220,3600.0
221,3400.0
222,3200.0
223,3600.0
224,5650.0
225,3250.0
226,5100.0
227,3800.0
228,5400.0
229,
230,3750.0
231,3450.0
232,5350.0
233,3950.0
234,4450.0
235,3800.0
236,5950.0
237,3200.0
238,3575.0
239,4700.0
